pekka eric auvinen
kenneth bartley
amy bishop
bastian bosse
sky bouche
nathaniel brazill
robert butler jr
michael carneal
alvaro castillo
douglas chanthabouly
seung hui cho
nikolas cruz
wellington de oliveira
dorothy dutiel
bruco eastwood
valery fabrikant
robert flores
jaylen fryberg
kimveer gill
robert gladden jr
one goh
drew golden
mitchell johnson
eric hainstock
biswanath halder
james hancock
kristofer hans
chris harper mercer
eric harris
dylan klebold
james holmes
eric houston
alex hribal
james kearbey
leo kelly jr
su yong kim
kip kinkel
tj lane
adam lanza
keith ledeger
steven leith
marc l%C3%A9pine
patrick lizotte
wayne lo
jared loughner
barry loukaitis
kelvin love
gang lu
myron may
odane maye
john mclaughlin
alek minassian
david moore
stephen morgan
duane morrison
peter odighizuwa
bryan oliver
jesse osborne
brendan orourke
jared padgett
dimitrios pagourtzis
gabriel parker
karl pierson
evan ramsey
jose reyes
elliot rodger
jon romano
jamie rouse
jonathan rowan
matti saari
ely serna
caleb sharpe
michael slobodian
brenda spencer
randy stair
nicco tatum
jeffrey weise
charles whitman
andy williams
james wilson
jiverly wong
luke woodham
aaron ybarra
john zawahri
haiyang zhu
